MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
Statistique et Signal;Statistiques Appliquees;Traitement de signal;;SIC
Electronique;Electronique analogique;Electronique numerique;;MI
Materiaux;Sciences des materiaux;Dessin industriel;;GEI
Informatique;Bases de donnees ;Technologie web;;GEI
Automatique 1 et Electrotechnique 1;Electronique;Automatique lineaire;;GEI
Management de l entreprise 1;Organisation et gestion des entreprises;Comptabilite 1;Economie1;SIC
Electrotechnique 2 et simulation ;Simulation des systemes industriels Labview;Electrotechnique 2;TP Electronique numerique;GEI
Thermodynamique industrielle;Mecanqiue des fluides;Thermodynamique appliquee;;GEI
Machines industrielles ;Machines thermiques 1;Machines hydrauliques;Installations electriques;GEI
Thermique;Transferts thermiques;Metrologie et Mesures thermiques;;GEI
Energies et environnement ;ecologies industrielle;energies;conduite de projets energies et environnement ;GEI
langue et communication 1;developpement personnel;methodologie de Projet Profesionnel;Anglais 1 et Espagnol;SIC
