MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
automatisme et maintenance;automatismes industriels;maintenance industrielle;;GEI
commande industrielle;commande numerique des sys industriels;reseaux locaux industriels;;GEI
outils d aide a la decision ;outils d aide a la decision monocritere ;theorie des graphes ;outils d aide a ala decision multicritere;SIC
fabrication mecanique ;procedes de fabrication ;CFAO;;GEI
conception mecanique ;conception des systemes mecaniques et technologies;analyse de la valeur ;;GEI
langue et communication 2 ;economie et compta 2;projet collectif et stages;management de projet;SIC
modelisation et implantation ;implantation des systemes de production;modelisation et simulation des systemes de production ;;GEI
gestion de production ;gestion de production ;GP avancee;;GEI
maintenance et qualite;surete de fonctionnement et TP GMAO;outils statistiques de la qualite ;analyse de la valeur 2;GEI
pilotage et amelioration continue ;amelioration continue et actions de progres;evaluation des performances et pilotage;;GEI
ERP et MES;ERP;MES;;GEI
Llangues et com2;espagnol 2 allemand;anglais pro;techniques de com;SIC
