MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
GSTR11 maths pour l ing;analyse num;optimisation;statistiques appliquees;MI
GSTR12 signal;traitement signal ;TP signal;;GEI
GSTR13 electronique 1;electronique analogique;electronique numerique;;SIC
GSTR14 telecom1;ondes electromagnetiques;lignes de transmission ;;SIC
GSTR15 automatique et reseau ;automaatique ;concepts fondamentaux des reseaux ;;SIC
GSTR16 langues et com 1;methodologie de PP;developpement perosnnel;anglais 1 et espagnol 1;SIC
GSTR21 electronique 2; micro architecture des processeurs ;SE linux ;TP electronique ;SIC
GSTR22 info 1;POO;bases de donnees UML;;SIC
GSTR23 theorie des graphes et app;theorie des graphes;recherche op;;SIC
GSTR24 reseaux 1 ;Protocoles et adressage ;technologies des reseaux ;;MI
GSTR25 telecom 2 ;com analogique ;theorie de l info et codage ;;SIC
GSTR26 management 1;gestion ;compta 1;eco1;SIC
