MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
GSTR51 reseaux mobiles ;reseaux mobiles et nouvelle generation ;techniques emergentes en com numerique ;signalisation ;SIC 
GSTR52 securite et interconnexion des reseaux ;securite de reseaux ;crypto;interconnexion des reseaux prives ;MI
GSTR53 telecom 7 ;reseaux de capteurs sans fils ;telecom satellitaires ;haut debit et technologies des reseaux tout optique ;SIC 
GSTR54 info 3 ;fouille donnes ;dev mobile ;;GEI
GSTR55 telecom 8 ;architecture des sys radio ;tp telecom 3 ;projets telecom ;SIC 
GSTR56 management 3 ;creation d entreprises ;seminaires projet libre stage ;simulation d entretien d embauche;SIC 
