MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
Valorisation des dechets ;Recyclage industriel;Biogaz;Biomasse;GEI
Responsabilite societale des entreprises;Outils RSE;RES: ISO 26000;Legislation de travail;SIC
Efficacite energetique;Efficacite Energetique dans l industrie;Outils d efficacite energ dans le batiment ;RTBN et simulation ;GEI
Optimisation des systemes energetiques hybrides ;Systeme d information geographiques;optimisation des systemes industriels;Systemes hybrides a energies renouvelables;GEI
Chauffage et climatisation;Systeme de chauffage acoustique et regulation ;climatisation et conditionnement d air;froid industriel;GEI
Management de l entreprise 2;Creation d entreprise;Seminaires stage et projet collectif interdisciplinaire 2;similation d entretien d embaucge et ethique de l ingenieur;SIC
