MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
GSEA11 maths appliquees;analyse numerique ;optimisation ;statistiques;MI
GSEA12 traitement de signal ;traitement de signal ;;;GEI
GSEA13 electronique 1;electronique analogique;electronique numerique;;SIC
GSEA14 ondes et propagation ;ondes electromagnetiques;lignes de transmission ;;GEI
GSEA15 automatique et electrotech1;automatique lineaire;electrotechnique;;GEI
GSEA16 langues et com 1;methodologie de PP;developpement perosnnel;anglais 1 et espagnol 1;SIC
GSEA21 assembleur microprocesseur et microcontroleur ;assembleur et sys ;miicrocontroleurs;tp electronique num;GEI
GSEA22 electronique 3 et tp ;electronique analogique 2;automatisme ;tp electronique et automatisme;GEI
GSEA23 electrotechnique 2 et installations electriques;electrotechnique 2 ;tp electrotechnique ;installation electrique;GEI
GSEA24 instrumentation et automatique 2 ;metrologie instrumentation et labview ;automatique 2 ;;GEI
GSEA25 informatique ;bases de donnees ;PHP;;SIC
GSEA26 management de l entreprise 1 ;Organisation et gestion ;ECO1;COMPTA 1 ;GEI
