MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
GINF51 technologies ner et J2EE;architecture JEE framework et outils;Programmation mobile Net;;SIC
GINF52 inteligence artificielle avancee et ingenierie de connaissance;IA avancee et web semantique;ingenierie des connaissances;;MI
GINF53 systemes d information decisionnelles et BI;entrepot de donnees;analyse de donnees ;bigdata et et applications;SIC
GINF54 management des sys d information ;gouvernance des SI;ERP et CRM;audit et securite des SI;SIC
GINF55 web services et applications ;developpement web en .Net;Webservices;e-commerce ;MI
GINF56 management de l entreprise3;creation d entreprise: entrepreunariat et GRH;seminaire projet libre et stage;simulation d entretien d embauche et ethique de l ingenieur;SIC
