MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
GIND51 supply chain et ordonnancement ;supply chain management ;ordonnancement;;GEI
GIND52 logistique;logistique industrielle et de transport;logistique maritime;e-logistique e-commerce;GEI
GIND53 securite et energie ;analyse des donnees industrielles;securite ergonomie;economie d energie;GEI
GIND54 qualite et environnement ;developpement durable et environnement ;management de l innovation ;management de la qualite ;SIC
GIND55 contrôle et supervision ;contrôle de gestion industrielle ;supervision ;gestion indus avancee;GEI
GIND56 MANAGEMENT DE L ENTREPRISE 3;creation d entreprise;seminaires projet libre et stage;simulation d entretien d embauche et ethique de l ing;GEI
