MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
GINF31 Programmation oriente objet et XML;Programation orientee objet en JAVA;XML et Applications;;SIC
GINF32 qualite et approche processus;assurance contrôle qualite;cycle de vie logiciel;maitrise et optimisation des processus;SIC
GINF33 modelisation oriente objet et IHM;modelisation UML;interaction homme machine;;MI
GINF34 bases de donnees avancees 1;optimisation et qualite de base de donnees;administration et securite des bases de donnees ;bases de donnees NOSQL;SIC
GINF35 administration et programmation sys ;administration systeme ;programmation systeme ;;MI
GINF36 langues et communication 2 ;espagnol 2 et allemand;anglais pro;technique de communication ;SIC
GINF41 technologies distribuees;intro a JEE;programmation C#;;SIC
GINF42 bases de donnees avancees 2 et cloud;gestion des donnes complexes;gestion des donnees distribuees;cloud computing et infogerance;SIC
GINF43 traitement de l image;traitement d image;vision numerique;processus stochastique;SIC
GINF44 programmation declarative et TAV;programmation declarative;technique algorithmique avancee ;;MI
GINF45 securite et cryptographie;securite des systemes ;cryptographie;;MI
GINF46 management de l entreprise 2 ;economie et compta 2;projets collectif et stages;management de projet;SIC
